Sentence,Sentiment,Translated_Sentence,Translated_Sentiment
$MSFT SQL Server revenue grew double-digit with SQL Server Premium revenue growing over 30% http://stks.co/ir2F,positive,"A receita de $ MSFT do SQL Server cresceu dois dígitos, com a receita do SQL Server Premium crescendo mais de 30% http://stks.co/ir2F",positivo
"According to L+ñnnen Tehtaat 's CEO Matti Karppinen , the company aims to deliver fish products to its customers a day earlier than it currently does .",neutral,"De acordo com Matti Karppinen, CEO da L+ñnnen Tehtaat, a empresa pretende entregar produtos de peixe aos seus clientes um dia antes do que faz actualmente.",neutro
The company 's share is quoted on NASDAQ OMX Helsinki Rautaruukki Oyj : RTRKS .,neutral,As ações da empresa estão cotadas na NASDAQ OMX Helsinki Rautaruukki Oyj: RTRKS.,neutro
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,neutral,Elcoteq SE está listada na Nasdaq OMX Helsinki Ltd.,neutro
Two of these contracts are for turntable anode vibrocompactors that will be delivered to Gansu Hualu Aluminum Co Ltd and another unnamed costumer .,neutral,Dois desses contratos são para vibrocompactadores anódicos de mesa giratória que serão entregues à Gansu Hualu Aluminum Co Ltd e a outro cliente não identificado.,neutro
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive,"Aviva e Friends Life são as principais previsões antes da fusão de 5,6 bilhões de libras",positivo
"In stead of being based on a soft drink , as is usual , the Teho energy drink is made with fresh water .",neutral,"Em vez de ser à base de refrigerante, como é habitual, o energético Teho é feito com água doce.",neutro
The company plans to increase the unit 's specialist staff to several dozen -- depending on the market situation during 2010 .,neutral,A empresa planeia aumentar o pessoal especializado da unidade para várias dezenas – dependendo da situação do mercado durante 2010.,neutro
The company closed last year with a turnover of about four million euros .,neutral,A empresa fechou o ano passado com um volume de negócios de cerca de quatro milhões de euros.,neutro
Shire CEO steps up drive to get Baxalta board talking,positive,CEO da Shire intensifica esforços para fazer o conselho da Baxalta falar,positivo
Costco: A Premier Retail Dividend Play https://t.co/Fa5cnh2t0t $COST,positive,Costco: um jogo de dividendos de varejo de primeira linha https://t.co/Fa5cnh2t0t $COST,positivo
"The five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. It will also include apartments .",neutral,O edifício ecoeficiente de cinco andares terá uma área bruta de cerca de 15 mil m2. Também incluirá apartamentos.,neutro
"The first installment of the Cinema Series concludes with a profile of Finnish inventor Olavi Linden , whose personal artistic journey and work at Fiskars has led to dozens of design awards .",neutral,"A primeira edição da Série Cinema termina com um perfil do inventor finlandês Olavi Linden, cuja jornada artística pessoal e trabalho na Fiskars levaram a dezenas de prêmios de design.",neutro
All are welcome .,neutral,Todos são bem-vindos.,neutro
"Stockmann and Swedish sector company AB Lindex entered into an agreement on September 30 , 2007 , whereby Stockmann , or a wholly-owned subsidiary of it , will make a public tender offer for all of Lindex 's issued shares .",positive,"A Stockmann e a empresa sueca do setor AB Lindex firmaram um acordo em 30 de setembro de 2007, por meio do qual a Stockmann, ou uma subsidiária integral dela, fará uma oferta pública de aquisição de todas as ações emitidas pela Lindex.",positivo
"HUHTAMAKI OYJ STOCK EXCHANGE RELEASE , 16.9.2008 AT 13.32 Huhtamaki 's Capital Markets Day for institutional investors and analysts is held in Espoo , September 16 , 2008 starting at 13.30 pm Finnish time .",neutral,"COMUNICADO DA BOLSA DE VALORES DE HUHTAMAKI OYJ, 16.9.2008 ÀS 13h32 O Dia do Mercado de Capitais de Huhtamaki para investidores institucionais e analistas é realizado em Espoo, 16 de setembro de 2008, começando às 13h30, horário da Finlândia.",neutro
`` We are pleased to welcome Tapeks Noma into Cramo group .,positive,`` Temos o prazer de receber Tapeks Noma no grupo Cramo.,positivo
- Profit before taxes was EUR 105.9 82.7 million .,neutral,"- O lucro antes de impostos foi de 105,9 82,7 milhões de euros.",neutro
Royal Dutch Shell to Buy BG Group for Nearly $70 Billion,positive,Royal Dutch Shell comprará BG Group por quase US$ 70 bilhões,positivo
"FinancialWire tm is not a press release service , and receives no compensation for its news , opinions or distributions .",neutral,"FinancialWire tm não é um serviço de comunicados à imprensa e não recebe remuneração por suas notícias, opiniões ou distribuições.",neutro
ASSA ABLOY Kaupthing Bank gave a ` neutral ' recommendation and a share price target of 174 crowns $ 24.7 - 19 euro on Swedish lock maker Assa Abloy AB .,neutral,"O ASSA ABLOY Kaupthing Bank deu uma recomendação “neutra” e um preço alvo de 174 coroas (24,7-19 euros) para o fabricante de fechaduras sueco Assa Abloy AB.",neutro
"The item included restructuring costs of EUR1 .6 m , while a year earlier they were EUR13 .1 m. Diluted EPS stood at EUR0 .3 versus a loss per share of EUR 0.1 .",positive,"A rubrica incluía custos de reestruturação de 1,6 milhões de euros, quando um ano antes eram de 13,1 milhões de euros. O lucro por ação diluído situou-se em 0,3 euros versus um prejuízo por ação de 0,1 euros.",positivo
In 2005 the bank posted a net profit of Lt 8.2 mn .,neutral,"Em 2005, o banco registou um lucro líquido de 8,2 milhões de Lt.",neutro
$AAPL afternoon selloff as usual will be brutal. get ready to lose a ton of money.,negative,"A liquidação da tarde de $AAPL, como de costume, será brutal. prepare-se para perder muito dinheiro.",negativo
$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,$ TSLA relembrando praticamente todos os modelos X @cnnbrk descobriu que mesmo no trabalho você entra no comércio de dinheiro,negativo
"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative,"A Dolce & Gabbana pediu à União Europeia que declare inválida a marca registada com padrão floral ``Unikko'' da Marimekko Corporation, numa disputa contínua entre as duas empresas.",negativo
InterContinental Hotels first-quarter global room revenue lags estimates,negative,Receita global de quartos do InterContinental Hotels no primeiro trimestre fica abaixo das estimativas,negativo
"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",positive,"De acordo com a companhia finlandesa de seguros de pensões Varma, a Varma recebeu mais de dois terços das receitas da cobertura de pensões relacionada com os rendimentos que foi objecto de concurso público na Finlândia.",positivo
"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive,"Uma parte, US$ 12,5 milhões, será registrada como parte de seus ganhos em uma disputa de patente anterior com a fabricante finlandesa de telefones Nokia Oyj.",positivo
"L&G still paying price for dividend cut during crisis, chief says",negative,"L&G ainda paga preço pelo corte de dividendos durante a crise, diz chefe",negativo
The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,neutral,"O volume de investimentos nas duas fases do projecto está estimado em 300 milhões de dólares (215,03 milhões de euros).",neutro
"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",neutral,"A Rússia foi responsável por 9% das receitas da divisão de revistas Lagardere, ou 114,40 milhões de euros (148,11 milhões de dólares) em 2009, e os EUA por 18%.",neutro
The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,"A empresa também estima que os investimentos já realizados levem a um aumento nas vendas líquidas de 2010 em relação a 2009, quando atingiram 141,7 milhões de euros.",positivo
Profit of the accounting period was EUR 0.3 mn .,neutral,"O lucro do período contabilístico foi de 0,3 milhões de euros.",neutro
"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,"As seis cervejarias registaram um crescimento de 5,2 por cento nas vendas nacionais de cerveja no ano passado , para 270,21 milhões de litros , contra 256,88 milhões de litros vendidos em 2005 .",positivo
"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive,"Em Agosto-Outubro de 2010 , o resultado da empresa antes de impostos totalizou 9,6 milhões de euros , acima dos 0,5 milhões de euros no período correspondente de 2009 .",positivo
"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive,"As vendas e os recursos de projetos da Systeemitiimi também serão fortalecidos, disse o diretor Paul Skogberg.",positivo
Tesco share price jumps as Q3 sales top estimates,positive,O preço das ações da Tesco salta conforme as principais estimativas de vendas do terceiro trimestre,positivo
The fine print is here .,neutral,As letras miúdas estão aqui.,neutro
The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,O preço dos toros melhorou claramente desde 2009 e também o preço da madeira para trituração subiu.,positivo
"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral,"Assim, a SysOpen Digia obteve, em conformidade com o Capítulo 14, Secção 21 da Lei das Sociedades Finlandesa 29.9.1978-734, a titularidade de todas as acções da Sentera que deverão ser resgatadas.",neutro
Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,neutral,"O lucro diluído por ação (EPS) caiu para 0,63 euros, de 1,71 euros.",neutro
"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",neutral,"Às 15h37 Hora do Leste, um bloco de 2.400 contratos mudou de mãos a um preço de oferta de US$ 0,45.",neutro
"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral,"Algumas das entregas de tecnologia mais recentes incluem tecnologia de refinaria para a Anrak Aluminium, uma planta de pelotização de minério de ferro para a Tata Steel e plantas de sinterização de minério de ferro para a Bhushan Steel.",neutro
$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,$VIPS padrão semelhante ao início de maio. Você vendeu? O mesmo agora... subirá muito mais depois dessa queda.,positivo
The firm generated sales of 187 mln eur in 2005 .,neutral,A empresa gerou vendas de 187 milhões de euros em 2005 .,neutro
"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",neutral,"A Stora Enso também realizou reuniões com autoridades trabalhistas, Centros de Emprego e Desenvolvimento Econômico e representantes do governo para encontrar soluções.",neutro
AstraZeneca profit down as sales of stalwarts fade,negative,Lucro da AstraZeneca cai à medida que vendas de empresas fortes diminuem,negativo
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive,"RT @andrewnyquist Cartologia: Yahoo: http://stks.co/1itr $YHOO Gráfico de aparência maluca, mas próximo da linha de resistência de rompimento...",positivo
Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive,As ações mais otimistas no Twitter durante esta queda. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY mais: https://t.co/iuZJelfwt3,positivo
"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative,As vendas líquidas da finlandesa GeoSentric diminuíram para 939.000 euros em janeiro-março de 2009.,negativo
"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral,"Cohen & Steers, Inc.: 5 534 626 acções representativas de 4,985% do capital social e dos direitos de voto.",neutro
More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,Mais pessoal foi recrutado no Japão para complementar ainda mais a sua rede de cerca de 50 locais de serviço em mais de 20 países em todo o mundo.,positivo
"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",neutral,"As empresas papeleiras estiveram em territórios negativos, com a Stora Enso R a cair 1,62 por cento para 12,73 eur, a UPM-Kymmene a cair 0,80 por cento para 18,64 eur e a M-real B 0,18 por cento para 5,57 eur.",neutro
Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral,A administração centralizada da Kauko-Telko será dissolvida e partes apropriadas dela serão transferidas para atividades operacionais e administração do Grupo até o final do ano.,neutro
Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,neutral,"O lucro operacional para o trimestre Abril-Junho de 2006 ascendeu a 182,2 milhões de euros em vendas de 3,62 mil milhões de euros.",neutro
Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,neutral,A Atria escolheu o DeLight para atrair consumidores na faixa etária de 25 a 45 anos para sua linha Atria Fresh de refeições para micro-ondas.,neutro
"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",neutral,"O fornecedor finlandês de soluções de TI Affecto Oyj HEL: AFE1V disse hoje que caiu para um prejuízo líquido de 115.000 euros e 152.000 dólares no segundo trimestre de 2010, de um lucro de 845.000 euros no período correspondente do ano anterior.",neutro
US sanctions put Gazprom-Shell alliance plans in jeopardy,negative,Sanções dos EUA colocam em risco planos de aliança Gazprom-Shell,negativo
"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",neutral,"O lucro do período foi de 10,9 milhões de euros , inferior aos 14,3 milhões de euros de 2009 .",neutro
"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive,"O lucro do período foi de 5,9 milhões de euros, acima dos 1,3 milhões de euros.",positivo
Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,neutral,"O lucro operacional caiu para 20,3 milhões de euros, de 74,2 milhões de euros no segundo trimestre de 2008.",neutro
"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive,"No entanto, as vendas voltaram a crescer em Abril-Junho de 2010, disse o CEO Pekka Eloholma.",positivo
Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral,"O lucro operacional totalizou 18,6 milhões de euros ou 8,3% das vendas líquidas.",neutro
"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,"As mudanças na situação do mercado e a concorrência de preços mais acirrada reduziram substancialmente a procura de embalagens de pão fabricadas na fábrica de Kauhava, segundo a empresa.",negativo
"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",neutral,"Em conexão com o acordo, a Digia empregará 19 pessoas da Nokia em Oslo e no Vale do Silício, nos EUA.",neutro
"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",positive,"A unidade brasileira do provedor finlandês de soluções de segurança F-Secure conquistou 1.500 novos clientes no ano passado, disse a fonte de notícias on-line Reseller Web, citando o diretor comercial da divisão, Vladimir Brand+úo.",positivo
The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,neutral,"O justo valor das propriedades de investimento da empresa caiu para 2,768 mil milhões de euros no final de 2009, contra 2,916 mil milhões de euros um ano antes.",neutro
"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,"Os revendedores disseram que a ação foi amplamente atingida pela decepção dos investidores com uma margem de refino de apenas 9,48 dólares por barril no trimestre e pelo desempenho de sua unidade de transporte, que viu o EBIT cair de 20 milhões de euros por ano para 5 milhões de euros em meio a uma queda nos volumes. e taxas de petroleiros.",negativo
"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",neutral,"`É uma prova da qualidade da nossa solução LTE e do nosso compromisso com o mercado japonês', acrescentou.",neutro
The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,neutral,O objectivo das empresas é finalizar as negociações e assinar os contratos no início de Outubro de 2008 .,neutro
"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral,"A Metso Foundries Jyvaskyla Oy descontinuará a produção desta linha até 30 de setembro de 2008, informou a empresa.",neutro
"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",neutral,"Um total de seis analistas entrevistados avaliaram M-real – dois deram ``comprar'' - ``acumular'', três deram ``manter'' e apenas um deu ``vender''.",neutro
"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive,"Em Setembro de 2010, o grupo finlandês concordou em comprar a empresa dinamarquesa Rose Poultry A-S por até 23,9 milhões de euros, numa combinação de dinheiro e acções.",positivo
$YANG Double bottom 5.2,positive,$ YANG Fundo duplo 5.2,positivo
Tesco share price down as grocer faces SFO investigation outcome,negative,O preço das ações da Tesco cai enquanto o dono da mercearia enfrenta o resultado da investigação do SFO,negativo
$aapl news is becoming very bullish again http://stks.co/tMU,positive,As notícias de $ aapl estão se tornando muito otimistas novamente http://stks.co/tMU,positivo
"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",neutral,"A GS Engineering instalará as válvulas em uma planta de GNL de gás natural liquefeito que construiu para a extração de GNL dos Emirados Árabes Unidos e a operadora de plantas de gás GASCO em Ruwais, Emirados Árabes Unidos.",neutro
The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,neutral,As percentagens de acções e de direitos de voto foram calculadas proporcionalmente ao número total de acções registadas no Registo Comercial e ao número total de direitos de voto a elas relacionados.,neutro
"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral,"A M-Real afirmou que “não há fundamento” para os rumores, que “já circulam no mercado há alguns meses”. '",neutro
"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",neutral,"Lember disse que o assunto também é actual na Estónia, onde foi elaborado um projecto de lei no Ministério dos Assuntos Sociais que eliminaria as pensões de velhice em condições favoráveis.",neutro
- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,neutral,"- A Moody's afirmou que atribuiu notações de dívida sénior sem garantia de longo prazo P A1 e P P-1 de curto prazo ao programa EMTN de notas de médio prazo de 1 mil milhões de euros e 1,4 mil milhões de euros do credor finlandês Aktia Bank, de 25 de Março de 2011.",neutro
$TSLA recall,negative,Recall de $TESLA,negativo
"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",neutral,"A cedência de liquidez foi interrompida em 11 de Maio de 2007, quando as acções da Aspocomp Group Oyj foram negociadas abaixo de 0,50 cêntimos (comunicado em bolsa da Aspocomp de 11.5.2007).",neutro
Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,positive,"Hargreaves Lansdown resiste aos mercados fracos e vê os ativos subirem 2,6 por cento",positivo
"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative,"Às 12h59, o índice OMX Helsinki 25 estava 0,32% mais baixo, em 2.694,81.",negativo
"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",neutral,"A decisão significa demissões temporárias de duração fixa nas unidades Nastola e Jyvaskyla da empresa, no sul e centro da Finlândia, respectivamente.",neutro
The value of the orders is over EUR 10mn .,neutral,O valor das encomendas é superior a 10 milhões de euros.,neutro
Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral,A Sra. Laakso será responsável pelas funções de RH da HKScan e pelo seu desenvolvimento em todas as áreas de mercado do Grupo.,neutro
"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral,"A Fiskars também está envolvida no fornecimento global de soluções e serviços de equipamentos marítimos e de energia através de sua empresa associada, a Wartsila Corporation.",neutro
Aberdeen Asset Management Gains Foothold In China,positive,Aberdeen Asset Management ganha posição na China,positivo
Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,neutral,"A VR, empresa ferroviária dominante na Finlândia, está a planear enviar os passageiros infectados para viagens de longa distância num vagão separado.",neutro
"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",neutral,"Em Novembro, o governo finlandês diminuiu ainda mais a sua participação na empresa, de 38% para 31,1%.",neutro
"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",neutral,"A finlandesa Exel Composites, uma empresa de tecnologia que projeta, fabrica e comercializa perfis e tubos compósitos para diversas aplicações industriais, relata que suas vendas líquidas diminuíram 0,6% no segundo trimestre de 2010, para 19,2 milhões de euros, de 19,3 milhões de euros no período correspondente em 2009.",neutro
"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",neutral,"Das joint ventures da Bavelloni e da NST, a Bavelloni Tools transforma semiprodutos produzidos na Itália em ferramentas de alta qualidade que serão vendidas sob a marca DiaPol.",neutro
The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,neutral,A ferramenta tem um design com patente pendente que permite aos consumidores expor todo o seu projeto em uma placa removível usando vários carimbos transparentes de qualquer tipo.,neutro
$GOOGL is a short below 740 into the upper BB and is overbought,negative,$GOOGL está vendido abaixo de 740 no BB superior e está sobrecomprado,negativo
"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",neutral,"APAGUE AS LUZES Antes do toque de recolher, aconchegue-se com o mais recente best-seller e mime seus olhos com a luz de leitura perfeita da Luceplan.",neutro
"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative,"A UPM-Kymmene Corp., a maior fabricante mundial de papel para revistas, relatou na terça-feira uma queda de 19% nos lucros, uma vez que os preços mais baixos do papel, os custos mais elevados e um euro forte prejudicaram as receitas.",negativo
The total value of the contract is some EUR 8 million .,neutral,O valor total do contrato é de cerca de 8 milhões de euros.,neutro
"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",neutral,"O pré-requisito para inclusão no programa e para recebimento de eventuais ganhos é que os funcionários-chave adquiram ações da Aspo no valor previamente determinado pelo Conselho, no máximo.",neutro
Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,neutral,O Sr. Doring está na Eaton desde 1989 e atua como Gerente da Unidade de Negócios da Unidade de Negócios de Controles de Energia da Eaton desde janeiro de 2007 .,neutro
"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",positive,"A loja de 250 m2 na principal zona comercial de Copenhaga foi inaugurada hoje, fortalecendo ainda mais a presença da empresa nas capitais nórdicas.",positivo
"In the financial statement for the first quarter of 2010 , Tikkurila is reported under discontinued operations .",neutral,"Nas demonstrações financeiras do primeiro trimestre de 2010, Tikkurila é reportada como operações descontinuadas.",neutro
"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",positive,"A segunda maior fabricante mundial de aço inoxidável disse que o lucro líquido no período de três meses até 31 de dezembro subiu para 603 milhões de euros (US$ 781 milhões), ou 3,33 euros (US$ 4,31 por ação), de 172 milhões de euros, ou 0,94 euros por ação. compartilhar, no ano anterior.",positivo
